race_date,track,keirin_cd,target_high_payout,prediction
20240521,15,53,0,0.48988120068545643
20240521,15,53,0,0.29213459962191973
20240521,15,53,0,0.34170564806805886
20240521,15,53,0,0.1292134864902481
20240521,15,53,0,0.16652260451642337
20240521,15,53,0,0.11783200810892541
20240521,15,53,0,0.12392507437360133
20240521,15,53,0,0.35537403080533736
20240521,15,53,1,0.48558169889935787
20240521,15,53,0,0.45971663104174393
20240521,15,53,0,0.4645343587077643
20240521,15,53,0,0.33691495202150734
20240521,31,61,0,0.3208601814087854
20240521,31,61,0,0.4120878578095589
20240521,31,61,0,0.42794937918346065
20240521,31,61,0,0.5665778481340091
20240521,31,61,1,0.6816972996415911
20240521,31,61,0,0.5199352526144234
20240521,31,61,0,0.5676024419811564
20240521,31,61,0,0.48201144537788443
20240521,31,61,0,0.48873256947808613
20240521,31,61,0,0.4613643851180011
20240521,31,61,1,0.49748090848782217
20240521,31,61,0,0.28603700288172296
20240521,39,71,0,0.21103801493863752
20240521,39,71,0,0.23403156043323628
20240521,39,71,0,0.3380886449501187
20240521,39,71,0,0.40262672803838195
20240521,39,71,0,0.6619497030450583
20240521,39,71,1,0.39503166703176434
20240521,39,71,0,0.5871832533885235
20240521,39,71,0,0.42528909003665777
20240521,39,71,1,0.47271074074564684
20240521,29,84,1,0.5921180850280016
20240521,29,84,0,0.42901449650897977
20240521,29,84,0,0.36431634966599624
20240521,29,84,1,0.33891201998169534
20240521,29,84,1,0.5374607276469094
20240521,29,84,1,0.3609468885544492
20240521,29,84,0,0.44727853726813643
20240522,37,12,1,0.49237674472865256
20240522,37,12,1,0.3701119796444164
20240522,37,12,0,0.5124328066583527
20240522,37,12,0,0.4539910025899908
20240522,37,12,1,0.5233545212964996
20240522,37,12,1,0.6058951286727551
20240522,37,12,0,0.44193024869170555
20240522,37,12,0,0.4496980506451584
20240522,37,12,0,0.5154210696433335
20240522,34,26,0,0.34930124796429285
20240522,34,26,0,0.49697885061360114
20240522,34,26,0,0.6126364367047011
20240522,34,26,0,0.6044791452592665
20240522,34,26,0,0.20126640051796937
20240522,34,26,0,0.361585970734721
20240522,34,26,0,0.5119139167719826
20240522,34,26,0,0.4844055195172464
20240522,34,26,1,0.5147209593213337
20240522,34,26,0,0.5481556896160449
20240522,34,26,0,0.2927318376399279
20240522,34,26,0,0.5151742595226503
20240522,20,36,1,0.5656788973550457
20240522,20,36,0,0.4329164236730355
20240522,20,36,0,0.42063203058482534
20240522,20,36,0,0.4760208785111271
20240522,20,36,0,0.6587432716682428
20240522,20,36,1,0.5132316835183093
20240522,20,36,1,0.48155309469840774
20240522,20,36,1,0.5528214204541296
20240522,20,36,1,0.555299697722067
20240522,20,36,0,0.5883461283592456
20240522,20,36,0,0.4314434648901578
20240522,20,36,0,0.5296641565556128
20240522,15,53,0,0.2670568204697274
20240522,15,53,0,0.42720764325875193
20240522,15,53,0,0.44895631944809317
20240522,15,53,1,0.4197432980754292
20240522,15,53,0,0.503577251236468
20240522,15,53,0,0.292102446217711
20240522,15,53,0,0.5549239463169499
20240522,15,53,0,0.4381583383934808
20240522,15,53,0,0.38176441014233436
20240522,15,53,0,0.3970282648555703
20240522,15,53,0,0.35124612770008634
20240522,15,53,1,0.34632010041196126
20240522,39,71,1,0.19738566890796558
20240522,39,71,1,0.4417596710090101
20240522,39,71,1,0.3165741939828614
20240522,39,71,0,0.5674548452401234
20240522,39,71,0,0.3620173554531274
20240522,39,71,0,0.518912947398844
20240522,39,71,0,0.4354622636641493
20240522,39,71,0,0.36057314408482016
20240522,39,71,0,0.5811660945083669
20240522,26,75,0,0.24741553113645653
20240522,26,75,0,0.31779423659346295
20240522,26,75,0,0.28085362330282704
20240522,26,75,0,0.22833598331982494
20240522,26,75,0,0.18593664396661785
20240522,26,75,0,0.1434096950472046
20240522,26,75,0,0.15477022273032173
20240522,26,75,0,0.37183091020907616
20240522,26,75,0,0.43477302918581234
20240522,26,75,0,0.44641159873904596
20240522,26,75,0,0.2874698647721645
20240522,26,75,0,0.5153962793371513
20240523,7,22,0,0.3689124927027793
20240523,7,22,0,0.3073643101101457
20240523,7,22,0,0.2344761785826465
20240523,7,22,0,0.22271266736466286
20240523,7,22,0,0.2724754954743468
20240523,7,22,0,0.3177689809376166
20240523,7,22,0,0.1414558949387757
20240523,20,36,0,0.32959679927383084
20240523,20,36,0,0.5048081347118313
20240523,20,36,1,0.5540131371078639
20240523,20,36,1,0.5556514250135387
20240523,20,36,0,0.33672090896680923
20240523,20,36,0,0.49739030772112325
20240523,20,36,0,0.4453290402202134
20240523,20,36,0,0.6837303348680821
20240523,20,36,0,0.46825088736772524
20240523,20,36,0,0.6380341922200347
20240523,20,36,0,0.48681395986142945
20240523,20,36,1,0.2774575477880935
20240523,3,37,0,0.545458613589156
20240523,3,37,0,0.3878403866481229
20240523,3,37,0,0.5265008600792346
20240523,3,37,0,0.3670777115892187
20240523,3,37,0,0.2577452042402169
20240523,3,37,0,0.17947482774816917
20240523,3,37,0,0.43044320825305415
20240523,32,51,0,0.3652189590827629
20240523,32,51,0,0.26469486024796035
20240523,32,51,0,0.33253376911409693
20240523,32,51,1,0.41736244653396193
20240523,32,51,0,0.7324303267941967
20240523,32,51,0,0.5284431629052361
20240523,32,51,0,0.42829037757317395
20240523,32,51,0,0.4594847143568285
20240523,32,51,0,0.5644041322809974
20240523,32,51,0,0.625428057527544
20240523,32,51,0,0.6109542562509499
20240523,32,51,0,0.6139730296736036
20240523,11,55,0,0.45707130590168565
20240523,11,55,0,0.2622837500618276
20240523,11,55,1,0.3230727389202684
20240523,11,55,0,0.5984540308745149
20240523,11,55,0,0.3750041109161412
20240523,11,55,0,0.36906442860775296
20240523,11,55,0,0.6595274264304772
20240523,26,75,0,0.3866215416465568
20240523,26,75,0,0.5710763581742645
20240523,26,75,0,0.3210716859055068
20240523,26,75,0,0.29058102273422126
20240523,26,75,0,0.15222485614572137
20240523,26,75,0,0.1762329597915385
20240523,26,75,0,0.18572039894994946
20240523,26,75,0,0.5654605479569973
20240523,26,75,0,0.23748061664583117
20240523,26,75,0,0.455228021755006
20240523,26,75,0,0.3880724587588787
20240523,26,75,1,0.5587239455982402
20240523,18,81,0,0.6530829188739411
20240523,18,81,0,0.3054249431038822
20240523,18,81,0,0.3332338472693783
20240523,18,81,0,0.27561640034039925
20240523,18,81,0,0.14010246506515525
20240523,18,81,0,0.17067595622028983
20240523,18,81,0,0.1906858906183088
